Date_Str,Month,DayOfWeek,DayOfYear,temp_c,humidity_pct,rain_mm,wind_kmh,Water_pct,Greenery_pct,Empty_Land_pct,Road_and_Infrastructure_pct
2025-04-04,4,4,94,29.62,68.62,0.0,6.75,2.69,44.03,11.99,41.28
2025-04-05,4,5,95,31.14,61.21,0.0,10.45,2.69,44.03,11.99,41.28
2025-04-06,4,6,96,30.61,67.83,0.4,12.42,2.69,44.03,11.99,41.28
2025-04-07,4,0,97,29.65,69.5,0.1,10.58,2.69,44.03,11.99,41.28
2025-04-08,4,1,98,28.93,69.33,2.4,6.71,2.69,44.03,11.99,41.28
2025-04-09,4,2,99,29.6,62.88,0.5,8.87,2.69,44.03,11.99,41.28
2025-04-10,4,3,100,28.52,66.88,1.7,9.79,2.69,44.03,11.99,41.28
2025-04-11,4,4,101,27.85,74.96,0.0,5.72,2.69,44.03,11.99,41.28
2025-04-12,4,5,102,28.38,76.58,10.6,7.63,2.69,44.03,11.99,41.28
2025-04-13,4,6,103,28.59,75.75,0.5,4.17,2.69,44.03,11.99,41.28
2025-04-14,4,0,104,27.93,75.62,9.5,3.66,2.69,44.03,11.99,41.28
2025-04-15,4,1,105,27.72,73.42,0.4,4.32,2.69,44.03,11.99,41.28
2025-04-16,4,2,106,28.95,73.42,1.5,9.73,2.69,44.03,11.99,41.28
2025-04-17,4,3,107,26.29,82.04,8.3,10.66,2.69,44.03,11.99,41.28
2025-04-18,4,4,108,26.89,80.83,4.2,7.4,2.69,44.03,11.99,41.28
2025-04-19,4,5,109,27.81,82.88,2.8,5.94,2.69,44.03,11.99,41.28
2025-04-20,4,6,110,29.95,81.08,4.9,11.78,2.69,44.03,11.99,41.28
2025-04-21,4,0,111,30.79,79.42,0.0,15.27,2.69,44.03,11.99,41.28
2025-04-22,4,1,112,30.96,78.17,0.0,16.37,2.69,44.03,11.99,41.28
2025-04-23,4,2,113,31.83,74.92,0.0,15.4,2.69,44.03,11.99,41.28
2025-04-24,4,3,114,31.75,74.33,0.0,16.51,2.69,44.03,11.99,41.28
2025-04-25,4,4,115,31.75,74.46,0.0,16.48,2.69,44.03,11.99,41.28
2025-04-26,4,5,116,31.24,72.62,0.1,17.69,2.69,44.03,11.99,41.28
2025-04-27,4,6,117,31.49,67.0,0.0,9.6,2.69,44.03,11.99,41.28
2025-04-28,4,0,118,27.62,79.75,7.3,5.72,2.69,44.03,11.99,41.28
2025-04-29,4,1,119,25.67,81.96,6.4,4.3,2.69,44.03,11.99,41.28
2025-04-30,4,2,120,26.24,80.75,1.1,5.25,2.69,44.03,11.99,41.28
2025-05-01,5,3,121,26.51,77.96,0.9,4.69,2.69,44.03,11.99,41.28
2025-05-02,5,4,122,26.87,77.21,0.0,4.65,2.69,44.03,11.99,41.28
2025-05-03,5,5,123,27.55,78.0,2.6,6.11,2.69,44.03,11.99,41.28
2025-05-04,5,6,124,27.28,82.04,4.8,6.22,2.69,44.03,11.99,41.28
2025-05-05,5,0,125,29.23,76.21,0.6,5.84,2.69,44.03,11.99,41.28
2025-05-06,5,1,126,28.42,81.42,8.2,4.96,2.69,44.03,11.99,41.28
2025-05-07,5,2,127,30.37,75.71,0.8,6.77,2.69,44.03,11.99,41.28
2025-05-08,5,3,128,31.72,68.17,0.0,8.83,2.69,44.03,11.99,41.28
2025-05-09,5,4,129,32.78,62.08,0.0,7.5,2.69,44.03,11.99,41.28
2025-05-10,5,5,130,33.26,58.54,0.0,9.48,2.69,44.03,11.99,41.28
2025-05-11,5,6,131,34.08,52.21,0.1,11.18,2.69,44.03,11.99,41.28
2025-05-12,5,0,132,33.25,61.42,0.0,11.44,2.69,44.03,11.99,41.28
2025-05-13,5,1,133,31.84,72.08,1.6,13.55,2.69,44.03,11.99,41.28
2025-05-14,5,2,134,32.41,70.21,0.0,15.02,2.69,44.03,11.99,41.28
2025-05-15,5,3,135,32.01,71.21,2.4,13.36,2.69,44.03,11.99,41.28
2025-05-16,5,4,136,31.81,72.12,0.4,13.36,2.69,44.03,11.99,41.28
2025-05-17,5,5,137,31.17,73.88,1.9,13.27,2.69,44.03,11.99,41.28
2025-05-18,5,6,138,29.42,79.08,3.2,9.68,2.69,44.03,11.99,41.28
2025-05-19,5,0,139,30.95,69.71,2.5,10.67,2.69,44.03,11.99,41.28
2025-05-20,5,1,140,31.34,71.21,1.3,12.95,2.69,44.03,11.99,41.28
2025-05-21,5,2,141,30.95,75.04,7.6,11.18,2.69,44.03,11.99,41.28
2025-05-22,5,3,142,29.84,74.33,0.1,5.25,2.69,44.03,11.99,41.28
2025-05-23,5,4,143,28.29,83.54,8.6,4.56,2.69,44.03,11.99,41.28
2025-05-24,5,5,144,29.02,80.83,5.0,5.84,2.69,44.03,11.99,41.28
2025-05-25,5,6,145,28.48,85.38,8.4,6.34,2.69,44.03,11.99,41.28
2025-05-26,5,0,146,27.74,88.67,12.2,8.21,2.69,44.03,11.99,41.28
2025-05-27,5,1,147,28.17,87.29,10.8,10.52,2.69,44.03,11.99,41.28
2025-05-28,5,2,148,27.71,87.75,10.2,15.23,2.69,44.03,11.99,41.28
2025-05-29,5,3,149,27.25,87.71,29.8,13.08,2.69,44.03,11.99,41.28
2025-05-30,5,4,150,29.2,83.62,25.5,12.01,2.69,44.03,11.99,41.28
2025-05-31,5,5,151,29.08,87.75,17.2,12.68,2.69,44.03,11.99,41.28
2025-06-01,6,6,152,28.69,90.54,18.1,8.56,2.69,44.03,11.99,41.28
2025-06-02,6,0,153,30.5,73.83,0.6,7.95,2.69,44.03,11.99,41.28
2025-06-03,6,1,154,30.72,76.71,1.2,8.38,2.69,44.03,11.99,41.28
2025-06-04,6,2,155,29.07,84.96,1.8,7.15,2.69,44.03,11.99,41.28
2025-06-05,6,3,156,28.52,87.42,13.5,4.47,2.69,44.03,11.99,41.28
2025-06-06,6,4,157,28.96,84.0,5.7,3.83,2.69,44.03,11.99,41.28
2025-06-07,6,5,158,30.13,79.04,0.0,4.58,2.69,44.03,11.99,41.28
2025-06-08,6,6,159,30.31,81.12,1.9,5.03,2.69,44.03,11.99,41.28
2025-06-09,6,0,160,30.22,78.54,0.6,5.51,2.69,44.03,11.99,41.28
2025-06-10,6,1,161,30.62,75.92,0.6,7.76,2.69,44.03,11.99,41.28
2025-06-11,6,2,162,29.52,80.5,1.8,7.24,2.69,44.03,11.99,41.28
2025-06-12,6,3,163,30.55,74.5,0.2,7.53,2.69,44.03,11.99,41.28
2025-06-13,6,4,164,30.57,74.71,1.6,7.3,2.69,44.03,11.99,41.28
2025-06-14,6,5,165,30.57,75.17,3.3,8.63,2.69,44.03,11.99,41.28
2025-06-15,6,6,166,28.04,88.67,20.6,6.95,2.69,44.03,11.99,41.28
2025-06-16,6,0,167,27.8,89.71,31.4,6.28,2.69,44.03,11.99,41.28
2025-06-17,6,1,168,26.72,94.75,36.0,11.19,2.69,44.03,11.99,41.28
2025-06-18,6,2,169,27.11,87.62,21.2,18.81,2.69,44.03,11.99,41.28
2025-06-19,6,3,170,27.84,82.38,8.6,17.99,2.69,44.03,11.99,41.28
2025-06-20,6,4,171,28.81,85.62,15.0,12.13,2.69,44.03,11.99,41.28
2025-06-21,6,5,172,29.66,82.08,8.0,7.47,2.69,44.03,11.99,41.28
2025-06-22,6,6,173,28.41,90.5,15.8,5.26,2.69,44.03,11.99,41.28
2025-06-23,6,0,174,28.3,88.21,11.6,7.3,2.69,44.03,11.99,41.28
2025-06-24,6,1,175,29.03,83.33,3.5,7.22,2.69,44.03,11.99,41.28
2025-06-25,6,2,176,28.61,84.83,4.9,12.74,2.69,44.03,11.99,41.28
2025-06-26,6,3,177,28.23,85.46,7.8,13.84,2.69,44.03,11.99,41.28
2025-06-27,6,4,178,27.86,87.71,18.0,9.07,2.69,44.03,11.99,41.28
2025-06-28,6,5,179,27.25,90.46,9.4,7.2,2.69,44.03,11.99,41.28
2025-06-29,6,6,180,27.35,91.42,41.8,4.79,2.69,44.03,11.99,41.28
2025-06-30,6,0,181,27.91,88.08,14.5,8.42,2.69,44.03,11.99,41.28
2025-07-01,7,1,182,28.25,85.96,9.5,9.81,2.69,44.03,11.99,41.28
2025-07-02,7,2,183,28.01,88.96,24.4,7.03,2.69,44.03,11.99,41.28
2025-07-03,7,3,184,27.95,88.79,16.4,8.37,2.69,44.03,11.99,41.28
2025-07-04,7,4,185,27.39,91.0,12.2,7.45,2.69,44.03,11.99,41.28
2025-07-05,7,5,186,27.38,90.21,24.7,7.25,2.69,44.03,11.99,41.28
2025-07-06,7,6,187,27.08,90.04,8.9,5.45,2.69,44.03,11.99,41.28
2025-07-07,7,0,188,26.16,93.62,31.7,6.68,2.69,44.03,11.99,41.28
2025-07-08,7,1,189,26.06,94.67,29.2,10.5,2.69,44.03,11.99,41.28
2025-07-09,7,2,190,27.02,88.25,22.5,12.2,2.69,44.03,11.99,41.28
2025-07-10,7,3,191,28.2,84.92,7.1,10.33,2.69,44.03,11.99,41.28
2025-07-11,7,4,192,28.33,87.62,8.5,7.32,2.69,44.03,11.99,41.28
2025-07-12,7,5,193,28.85,87.92,10.3,5.74,2.69,44.03,11.99,41.28
2025-07-13,7,6,194,27.93,90.21,33.8,5.15,2.69,44.03,11.99,41.28
2025-07-14,7,0,195,26.1,94.0,31.7,14.39,2.69,44.03,11.99,41.28
2025-07-15,7,1,196,28.02,88.58,28.8,11.82,2.69,44.03,11.99,41.28
2025-07-16,7,2,197,28.32,87.71,15.0,10.72,2.69,44.03,11.99,41.28
2025-07-17,7,3,198,29.47,81.79,2.5,8.2,2.69,44.03,11.99,41.28
2025-07-18,7,4,199,29.06,84.88,10.6,6.91,2.69,44.03,11.99,41.28
2025-07-19,7,5,200,29.74,81.58,2.6,8.88,2.69,44.03,11.99,41.28
2025-07-20,7,6,201,29.52,82.17,1.4,5.4,2.69,44.03,11.99,41.28
2025-07-21,7,0,202,28.7,87.12,32.7,4.52,2.69,44.03,11.99,41.28
2025-07-22,7,1,203,29.58,82.62,3.3,4.22,2.69,44.03,11.99,41.28
2025-07-23,7,2,204,30.64,78.92,0.6,4.71,2.69,44.03,11.99,41.28
2025-07-24,7,3,205,29.26,84.71,11.8,6.94,2.69,44.03,11.99,41.28
2025-07-25,7,4,206,27.72,88.83,40.7,14.11,2.69,44.03,11.99,41.28
2025-07-26,7,5,207,28.17,87.0,5.9,11.88,2.69,44.03,11.99,41.28
2025-07-27,7,6,208,29.55,82.75,4.9,9.2,2.69,44.03,11.99,41.28
2025-07-28,7,0,209,27.92,90.38,39.3,6.89,2.69,44.03,11.99,41.28
2025-07-29,7,1,210,27.0,92.25,32.7,8.23,2.69,44.03,11.99,41.28
2025-07-30,7,2,211,27.0,91.38,32.2,9.95,2.69,44.03,11.99,41.28
2025-07-31,7,3,212,27.78,90.67,33.9,8.88,2.69,44.03,11.99,41.28
2025-08-01,8,4,213,28.53,88.96,18.6,7.24,2.69,44.03,11.99,41.28
2025-08-02,8,5,214,29.27,86.88,10.5,9.82,2.69,44.03,11.99,41.28
2025-08-03,8,6,215,29.12,85.96,16.5,12.63,2.69,44.03,11.99,41.28
2025-08-04,8,0,216,28.96,85.58,5.7,10.09,2.69,44.03,11.99,41.28
2025-08-05,8,1,217,28.69,87.92,6.9,7.75,2.69,44.03,11.99,41.28
2025-08-06,8,2,218,27.05,90.75,17.1,6.52,2.69,44.03,11.99,41.28
2025-08-07,8,3,219,26.85,91.71,20.1,8.15,2.69,44.03,11.99,41.28
2025-08-08,8,4,220,27.4,87.21,5.7,10.52,2.69,44.03,11.99,41.28
2025-08-09,8,5,221,28.05,84.5,2.1,11.44,2.69,44.03,11.99,41.28
2025-08-10,8,6,222,29.56,79.58,0.5,11.02,2.69,44.03,11.99,41.28
2025-08-11,8,0,223,29.25,84.58,11.7,7.95,2.69,44.03,11.99,41.28
2025-08-12,8,1,224,29.67,81.71,5.4,7.86,2.69,44.03,11.99,41.28
2025-08-13,8,2,225,28.08,87.46,12.0,8.54,2.69,44.03,11.99,41.28
2025-08-14,8,3,226,27.7,87.33,5.7,9.63,2.69,44.03,11.99,41.28
2025-08-15,8,4,227,28.1,87.04,8.2,7.62,2.69,44.03,11.99,41.28
2025-08-16,8,5,228,28.68,85.88,6.4,6.34,2.69,44.03,11.99,41.28
2025-08-17,8,6,229,28.75,82.12,18.0,11.64,2.69,44.03,11.99,41.28
2025-08-18,8,0,230,28.22,83.42,5.0,14.75,2.69,44.03,11.99,41.28
2025-08-19,8,1,231,27.59,86.33,6.6,15.1,2.69,44.03,11.99,41.28
2025-08-20,8,2,232,27.53,87.92,20.6,12.51,2.69,44.03,11.99,41.28
2025-08-21,8,3,233,26.59,93.71,42.8,8.65,2.69,44.03,11.99,41.28
2025-08-22,8,4,234,26.23,92.0,11.8,9.45,2.69,44.03,11.99,41.28
2025-08-23,8,5,235,26.7,89.54,12.4,11.74,2.69,44.03,11.99,41.28
2025-08-24,8,6,236,27.25,88.21,7.8,10.66,2.69,44.03,11.99,41.28
2025-08-25,8,0,237,27.87,87.38,7.6,5.9,2.69,44.03,11.99,41.28
2025-08-26,8,1,238,28.54,83.92,3.2,7.87,2.69,44.03,11.99,41.28
2025-08-27,8,2,239,28.22,83.25,6.2,12.05,2.69,44.03,11.99,41.28
2025-08-28,8,3,240,27.68,86.58,7.4,12.07,2.69,44.03,11.99,41.28
2025-08-29,8,4,241,27.02,90.79,12.7,9.46,2.69,44.03,11.99,41.28
2025-08-30,8,5,242,27.12,91.62,8.5,6.82,2.69,44.03,11.99,41.28
2025-08-31,8,6,243,28.96,86.12,1.3,4.27,2.69,44.03,11.99,41.28
2025-09-01,9,0,244,29.1,83.96,32.1,6.23,2.69,44.03,11.99,41.28
2025-09-02,9,1,245,27.41,86.83,25.0,12.72,2.69,44.03,11.99,41.28
2025-09-03,9,2,246,26.99,89.79,29.4,15.58,2.69,44.03,11.99,41.28
2025-09-04,9,3,247,27.45,88.88,13.2,10.26,2.69,44.03,11.99,41.28
2025-09-05,9,4,248,28.12,86.46,6.2,7.57,2.69,44.03,11.99,41.28
2025-09-06,9,5,249,28.86,84.38,3.4,6.42,2.69,44.03,11.99,41.28
2025-09-07,9,6,250,28.91,80.96,0.2,6.65,2.69,44.03,11.99,41.28
2025-09-08,9,0,251,29.0,81.29,1.2,5.94,2.69,44.03,11.99,41.28
2025-09-09,9,1,252,29.55,80.33,0.2,6.25,2.69,44.03,11.99,41.28
2025-09-10,9,2,253,29.9,79.92,0.1,6.37,2.69,44.03,11.99,41.28
2025-09-11,9,3,254,28.53,86.25,16.0,5.01,2.69,44.03,11.99,41.28
2025-09-12,9,4,255,27.88,89.38,11.7,5.26,2.69,44.03,11.99,41.28
2025-09-13,9,5,256,27.74,88.79,9.5,6.55,2.69,44.03,11.99,41.28
2025-09-14,9,6,257,27.43,90.17,18.5,6.89,2.69,44.03,11.99,41.28
2025-09-15,9,0,258,26.03,92.92,18.1,8.76,2.69,44.03,11.99,41.28
2025-09-16,9,1,259,26.9,89.08,2.9,10.65,2.69,44.03,11.99,41.28
2025-09-17,9,2,260,27.66,87.71,12.1,8.53,2.69,44.03,11.99,41.28
2025-09-18,9,3,261,28.76,85.79,3.1,6.44,2.69,44.03,11.99,41.28
2025-09-19,9,4,262,28.32,90.25,8.0,4.73,2.69,44.03,11.99,41.28
2025-09-20,9,5,263,28.62,89.62,10.8,3.98,2.69,44.03,11.99,41.28
2025-09-21,9,6,264,28.69,88.79,8.4,4.48,2.69,44.03,11.99,41.28
2025-09-22,9,0,265,27.1,91.88,29.1,3.94,2.69,44.03,11.99,41.28
2025-09-23,9,1,266,26.9,91.29,6.2,6.65,2.69,44.03,11.99,41.28
2025-09-24,9,2,267,27.76,90.21,9.5,5.13,2.69,44.03,11.99,41.28
2025-09-25,9,3,268,28.1,87.46,11.6,5.72,2.69,44.03,11.99,41.28
2025-09-26,9,4,269,27.89,87.83,21.1,13.34,2.69,44.03,11.99,41.28
2025-09-27,9,5,270,27.62,87.88,11.3,10.82,2.69,44.03,11.99,41.28
2025-09-28,9,6,271,27.71,89.83,2.9,4.95,2.69,44.03,11.99,41.28
2025-09-29,9,0,272,29.44,82.12,0.4,4.0,2.69,44.03,11.99,41.28
2025-09-30,9,1,273,28.9,86.54,6.0,4.52,2.69,44.03,11.99,41.28
2025-10-01,10,2,274,27.79,86.92,29.1,8.48,2.69,44.03,11.99,41.28
2025-10-02,10,3,275,26.64,91.33,12.1,13.59,2.69,44.03,11.99,41.28
2025-10-03,10,4,276,27.5,87.83,11.3,12.84,2.69,44.03,11.99,41.28
2025-10-04,10,5,277,27.92,85.75,6.1,14.3,2.69,44.03,11.99,41.28
2025-10-05,10,6,278,26.5,92.46,8.8,8.16,2.69,44.03,11.99,41.28
2025-10-06,10,0,279,26.55,91.08,13.2,4.14,2.69,44.03,11.99,41.28
2025-10-07,10,1,280,27.18,89.92,4.0,3.26,2.69,44.03,11.99,41.28
2025-10-08,10,2,281,26.62,90.29,12.2,3.45,2.69,44.03,11.99,41.28
2025-10-09,10,3,282,27.32,88.79,1.8,3.77,2.69,44.03,11.99,41.28
2025-10-10,10,4,283,27.01,87.04,10.9,6.19,2.69,44.03,11.99,41.28
2025-10-11,10,5,284,26.85,88.54,2.5,4.89,2.69,44.03,11.99,41.28
2025-10-12,10,6,285,27.88,76.21,0.1,5.17,2.69,44.03,11.99,41.28
2025-10-13,10,0,286,27.69,74.12,0.0,7.38,2.69,44.03,11.99,41.28
2025-10-14,10,1,287,27.6,73.33,0.0,8.27,2.69,44.03,11.99,41.28
2025-10-15,10,2,288,27.75,66.38,0.0,6.71,2.69,44.03,11.99,41.28
2025-10-16,10,3,289,27.52,70.33,0.0,4.19,2.69,44.03,11.99,41.28
2025-10-17,10,4,290,28.43,73.71,0.0,3.63,2.69,44.03,11.99,41.28
2025-10-18,10,5,291,27.93,79.58,1.7,5.18,2.69,44.03,11.99,41.28
2025-10-19,10,6,292,29.14,74.25,0.0,6.57,2.69,44.03,11.99,41.28
2025-10-20,10,0,293,29.53,65.29,0.0,7.41,2.69,44.03,11.99,41.28
2025-10-21,10,1,294,29.39,63.33,0.0,7.25,2.69,44.03,11.99,41.28
2025-10-22,10,2,295,29.15,65.12,0.0,5.81,2.69,44.03,11.99,41.28
2025-10-23,10,3,296,29.18,66.33,0.0,4.14,2.69,44.03,11.99,41.28
2025-10-24,10,4,297,28.49,71.0,0.1,5.02,2.69,44.03,11.99,41.28
2025-10-25,10,5,298,28.62,74.33,0.0,4.75,2.69,44.03,11.99,41.28
2025-10-26,10,6,299,28.78,76.96,0.0,3.86,2.69,44.03,11.99,41.28
2025-10-27,10,0,300,28.87,73.38,0.2,6.16,2.69,44.03,11.99,41.28
2025-10-28,10,1,301,28.64,78.58,5.5,7.38,2.69,44.03,11.99,41.28
2025-10-29,10,2,302,26.06,91.83,17.7,7.18,2.69,44.03,11.99,41.28
2025-10-30,10,3,303,26.64,89.83,15.8,5.11,2.69,44.03,11.99,41.28
2025-10-31,10,4,304,27.94,82.42,2.0,10.09,2.69,44.03,11.99,41.28
2025-11-01,11,5,305,26.88,88.46,12.2,6.28,2.69,44.03,11.99,41.28
2025-11-02,11,6,306,26.06,80.75,0.0,8.22,2.69,44.03,11.99,41.28
2025-11-03,11,0,307,25.54,68.67,0.0,8.33,2.69,44.03,11.99,41.28
